date,humidity,temperature,station_name
2025-12-02 11:00,37,5.4,안동
2025-12-02 12:00,28,7.7,안동
2025-12-02 13:00,27,8.1,안동
2025-12-02 14:00,27,8.0,안동
2025-12-02 15:00,31,7.4,안동
2025-12-02 16:00,29,6.4,안동
2025-12-02 17:00,30,4.6,안동
2025-12-02 18:00,31,3.3,안동
2025-12-02 19:00,34,2.1,안동
2025-12-02 20:00,36,0.8,안동
2025-12-02 21:00,39,-0.3,안동
2025-12-02 22:00,40,-0.9,안동
2025-12-02 23:00,39,-1.3,안동
2025-12-01 00:00,81,6.7,상주
2025-12-01 01:00,89,6.5,상주
2025-12-01 02:00,71,10.4,상주
2025-12-01 03:00,73,11.4,상주
2025-12-01 04:00,74,12.1,상주
2025-12-01 05:00,66,11.8,상주
2025-12-01 06:00,50,10.1,상주
2025-12-01 07:00,51,8.5,상주
2025-12-01 08:00,42,7.5,상주
2025-12-01 09:00,38,7.8,상주
2025-12-01 10:00,35,9.0,상주
2025-12-01 11:00,34,10.2,상주
2025-12-01 12:00,32,11.0,상주
2025-12-01 13:00,31,11.7,상주
2025-12-01 14:00,29,12.0,상주
2025-12-01 15:00,27,11.9,상주
2025-12-01 16:00,27,11.1,상주
2025-12-01 17:00,28,9.6,상주
2025-12-01 18:00,30,8.2,상주
2025-12-01 19:00,37,6.5,상주
2025-12-01 20:00,43,5.1,상주
2025-12-01 21:00,47,3.9,상주
2025-12-01 22:00,39,4.7,상주
2025-12-01 23:00,45,3.8,상주
2025-12-02 00:00,48,3.3,상주
2025-12-02 01:00,47,3.2,상주
2025-12-02 02:00,52,2.0,상주
2025-12-02 03:00,53,2.9,상주
2025-12-02 04:00,55,2.7,상주
2025-12-02 05:00,55,2.2,상주
2025-12-02 06:00,50,2.2,상주
2025-12-02 07:00,48,2.2,상주
2025-12-02 08:00,50,1.8,상주
2025-12-02 09:00,50,3.0,상주
2025-12-02 10:00,38,5.0,상주
2025-12-02 11:00,34,6.3,상주
2025-12-02 12:00,24,7.8,상주
2025-12-02 13:00,25,8.2,상주
2025-12-02 14:00,27,7.5,상주
2025-12-02 15:00,28,7.1,상주
2025-12-02 16:00,29,6.0,상주
2025-12-02 17:00,31,4.6,상주
2025-12-02 18:00,33,3.4,상주
2025-12-02 19:00,33,2.2,상주
2025-12-02 20:00,38,0.8,상주
2025-12-02 21:00,40,0.0,상주
2025-12-02 22:00,37,-0.7,상주
2025-12-02 23:00,47,-1.4,상주
2025-12-01 00:00,69,13.1,포항
2025-12-01 01:00,66,13.4,포항
2025-12-01 02:00,62,13.9,포항
2025-12-01 03:00,59,14.2,포항
2025-12-01 04:00,59,13.6,포항
2025-12-01 05:00,55,13.1,포항
2025-12-01 06:00,56,13.0,포항
2025-12-01 07:00,56,13.0,포항
2025-12-01 08:00,56,13.2,포항
2025-12-01 09:00,47,12.9,포항
2025-12-01 10:00,29,14.0,포항
2025-12-01 11:00,24,15.0,포항
2025-12-01 12:00,16,15.4,포항
2025-12-01 13:00,14,15.1,포항
2025-12-01 14:00,14,15.3,포항
2025-12-01 15:00,15,15.6,포항
2025-12-01 16:00,15,15.1,포항
2025-12-01 17:00,16,13.7,포항
2025-12-01 18:00,19,11.9,포항
2025-12-01 19:00,23,10.9,포항
2025-12-01 20:00,29,9.7,포항
2025-12-01 21:00,29,9.1,포항
2025-12-01 22:00,32,8.1,포항
2025-12-01 23:00,34,7.4,포항
2025-12-02 00:00,36,6.5,포항
2025-12-02 01:00,37,6.2,포항
2025-12-02 02:00,35,6.3,포항
2025-12-02 03:00,35,6.2,포항
2025-12-02 04:00,35,5.7,포항
2025-12-02 05:00,34,5.4,포항
2025-12-02 06:00,36,5.2,포항
2025-12-02 07:00,39,5.5,포항
2025-12-02 08:00,40,5.4,포항
2025-12-02 09:00,40,5.5,포항
2025-12-02 10:00,39,5.6,포항
2025-12-02 11:00,25,8.3,포항
2025-12-02 12:00,22,9.8,포항
2025-12-02 13:00,19,10.7,포항
2025-12-02 14:00,19,10.8,포항
2025-12-02 15:00,19,10.5,포항
2025-12-02 16:00,20,10.0,포항
2025-12-02 17:00,22,8.5,포항
2025-12-02 18:00,24,7.4,포항
2025-12-02 19:00,25,6.4,포항
2025-12-02 20:00,25,5.6,포항
2025-12-02 21:00,26,5.0,포항
2025-12-02 22:00,26,4.2,포항
2025-12-02 23:00,28,3.4,포항
2025-12-01 00:00,95,12.7,군산
2025-12-01 01:00,94,13.1,군산
2025-12-01 02:00,87,11.6,군산
2025-12-01 03:00,87,10.7,군산
2025-12-01 04:00,84,9.7,군산
2025-12-01 05:00,74,8.8,군산
2025-12-01 06:00,65,7.5,군산
2025-12-01 07:00,61,5.5,군산
2025-12-01 08:00,59,5.0,군산
2025-12-01 09:00,54,7.9,군산
2025-12-01 10:00,53,9.4,군산
2025-12-01 11:00,49,10.4,군산
2025-12-01 12:00,50,11.3,군산
2025-12-01 13:00,54,10.5,군산
2025-12-01 14:00,53,10.5,군산
2025-12-01 15:00,53,10.4,군산
2025-12-01 16:00,56,9.6,군산
2025-12-01 17:00,53,8.6,군산
2025-12-01 18:00,62,6.7,군산
2025-12-01 19:00,65,5.3,군산
2025-12-01 20:00,65,4.1,군산
2025-12-01 21:00,68,3.3,군산
2025-12-01 22:00,69,2.9,군산
2025-12-01 23:00,75,2.3,군산
2025-12-02 00:00,78,1.7,군산
2025-12-02 01:00,76,1.2,군산
2025-12-02 02:00,77,1.4,군산
2025-12-02 03:00,78,2.2,군산
2025-12-02 04:00,69,3.0,군산
2025-12-02 05:00,69,3.0,군산
2025-12-02 06:00,67,2.8,군산
2025-12-02 07:00,56,2.6,군산
2025-12-02 08:00,68,1.7,군산
2025-12-02 09:00,66,3.0,군산
2025-12-02 10:00,56,4.9,군산
2025-12-02 11:00,49,6.0,군산
2025-12-02 12:00,34,6.3,군산
